uid,iid
0,0
0,27
0,29
0,33
0,39
0,43
1,55
1,87
1,92
1,0
1,123
1,125
1,128
1,141
1,145
1,157
2,191
2,123
2,128
3,43
4,223
4,237
4,245
4,249
4,39
4,263
4,128
4,274
4,278
4,280
4,286
4,299
4,27
4,322
4,353
4,357
4,43
4,374
4,380
5,33
5,263
5,123
5,419
5,422
6,263
6,92
7,435
7,39
7,263
7,453
7,475
7,480
7,482
7,27
7,92
7,484
7,493
7,498
7,357
7,505
7,43
7,510
7,511
8,435
8,245
8,39
8,263
8,125
8,123
8,128
8,523
8,29
8,27
8,538
8,353
8,43
8,546
9,564
9,33
9,39
9,123
9,583
9,589
9,29
9,601
9,602
9,604
9,608
9,610
9,480
9,87
9,639
9,646
9,647
9,357
9,660
9,662
9,374
9,511
9,380
9,672
9,245
9,680
9,694
9,708
9,709
9,722
9,726
9,732
9,739
9,482
9,27
9,742
9,92
9,422
9,767
9,768
9,772
10,564
10,787
10,123
10,128
10,789
10,380
10,808
10,811
10,92
10,353
10,767
11,0
11,128
11,829
11,484
12,123
12,583
12,128
12,602
12,299
12,839
12,538
12,639
12,498
12,145
12,435
12,191
12,92
13,647
13,498
13,43
14,869
14,564
14,0
14,583
14,128
14,789
14,877
14,882
14,883
14,647
14,889
14,374
14,380
14,894
14,245
14,709
14,905
14,92
14,322
14,912
14,918
14,919
14,505
14,922
15,925
15,931
15,286
15,877
15,935
15,510
15,939
15,919
16,0
16,123
16,583
16,128
16,141
16,602
16,954
16,608
16,961
16,639
16,357
16,660
16,662
16,374
16,672
16,245
16,829
16,980
16,984
16,274
16,987
16,523
16,991
16,739
16,92
16,322
16,1003
16,1006
17,1017
17,925
17,33
17,0
17,123
17,286
17,1043
17,1049
17,1050
17,839
17,647
17,498
17,660
17,662
17,889
17,245
17,1072
17,191
17,263
17,125
17,709
17,1078
17,1083
17,482
17,1088
17,27
17,1089
17,92
17,493
17,918
17,919
17,422
17,772
18,869
18,33
18,0
18,583
18,128
18,931
18,1050
18,839
18,639
18,935
18,1129
18,43
18,510
18,374
18,894
18,263
18,125
18,709
18,1148
18,1151
18,92
18,484
18,1153
18,919
19,245
19,905
19,92
20,925
20,33
20,1160
20,662
20,935
20,919
21,564
21,787
21,789
21,589
21,601
21,602
21,604
21,299
21,882
21,839
21,647
21,157
21,1194
21,510
21,374
21,1072
21,263
21,125
21,987
21,1211
21,905
21,726
21,1088
21,742
21,92
21,484
21,493
21,918
21,422
21,768
21,772
22,1230
22,583
22,128
22,141
22,29
22,1239
22,602
22,608
22,1252
22,145
22,660
22,935
22,43
22,510
22,374
22,380
22,672
22,245
22,263
22,984
22,274
22,987
22,1270
22,905
22,1151
22,739
22,484
22,322
22,493
22,918
22,422
23,0
23,123
23,583
23,128
23,1289
23,286
23,1129
23,43
23,672
23,1298
23,709
23,1301
23,27
23,742
23,92
23,422
23,772
24,33
24,39
24,639
24,43
24,92
25,1311
25,1017
25,925
25,564
25,33
25,128
25,1289
25,789
25,604
25,883
25,1338
25,1340
25,1348
25,1353
25,660
25,672
25,435
25,811
25,1379
25,1382
25,263
25,453
25,523
25,1394
25,1401
25,1404
25,1083
25,482
25,27
25,742
25,939
25,422
25,353
25,767
25,505
25,772
26,1432
26,245
26,274
26,732
26,739
26,422
27,0
27,128
27,1452
27,374
27,380
27,55
27,245
27,722
28,639
28,145
28,263
28,1270
28,739
28,92
28,1467
29,39
29,128
29,498
29,43
29,245
29,475
30,564
30,1043
30,1340
30,145
30,380
30,672
30,1487
30,694
30,1270
30,709
30,726
31,869
31,128
31,29
31,954
31,374
31,245
32,39
32,0
32,123
32,583
32,128
32,1518
32,278
32,1521
32,602
32,1043
32,1526
32,1529
32,639
32,1252
32,646
32,1539
32,374
32,1542
32,435
32,237
32,1545
32,1382
32,263
32,984
32,1549
32,694
32,1552
32,709
32,1558
32,1148
32,732
32,1151
32,27
32,92
32,484
32,322
32,493
32,918
32,1564
32,1567
32,767
32,1571
33,564
33,589
33,29
33,877
33,601
33,1348
33,435
33,1487
33,811
33,523
33,1580
33,709
33,726
33,1148
33,1151
33,27
33,422
33,767
33,768
34,1521
34,1605
34,660
34,43
34,380
34,435
34,1382
34,274
34,1394
34,722
34,732
34,1620
34,1622
34,422
34,1567
34,1630
35,564
35,33
35,583
35,128
35,141
35,1521
35,602
35,954
35,1637
35,839
35,639
35,1252
35,145
35,1353
35,935
35,889
35,1642
35,510
35,374
35,672
35,435
35,245
35,811
35,263
35,984
35,1580
35,709
35,726
35,739
35,92
35,484
35,912
35,493
35,918
35,422
35,1656
36,564
36,380
36,263
36,722
36,27
36,422
37,564
37,33
37,877
37,1348
37,380
37,435
37,263
37,1580
37,475
37,27
37,1668
37,922
38,0
38,286
38,647
38,357
38,43
38,245
38,1670
38,987
38,27
39,1230
39,123
39,1289
39,1521
39,1239
39,608
39,1637
39,1529
39,639
39,1680
39,1681
39,1683
40,510
40,27
40,92
41,0
41,583
41,128
41,602
41,299
41,608
41,839
41,639
41,357
41,660
41,662
41,374
41,672
41,1693
41,191
41,263
41,984
41,1270
41,709
41,726
41,739
41,1702
41,422
42,869
42,877
42,726
42,919
43,564
43,0
43,123
43,583
43,128
43,29
43,602
43,1043
43,639
43,510
43,672
43,1714
43,125
44,1017
44,564
44,33
44,1735
44,141
44,286
44,877
44,610
44,1348
44,1353
44,380
44,672
44,55
44,1487
44,237
44,680
44,263
44,1394
44,722
44,1767
44,1301
44,1622
44,1771
44,422
44,767
44,1630
45,1789
45,1791
45,1714
45,523
45,1148
46,0
46,128
46,1605
47,33
47,0
47,123
47,128
47,883
47,639
47,1194
47,245
47,125
47,984
47,722
47,482
47,1088
47,27
47,742
47,92
47,1809
47,939
47,919
47,1810
47,505
47,772
47,925
47,39
47,583
47,1289
47,789
47,931
47,286
47,877
47,601
47,602
47,1043
47,1637
47,1049
47,1529
47,1819
47,1820
47,839
47,145
47,357
47,935
47,374
47,510
47,380
47,237
47,811
47,191
47,1298
47,1379
47,1837
47,263
47,694
47,1211
47,1151
47,739
47,912
47,1845
47,422
47,767
47,768
47,546
47,1846
48,0
48,639
48,919
48,583
48,145
48,660
48,662
48,935
48,43
48,263
48,1270
49,1851
50,33
50,245
50,1857
50,27
51,128
51,299
51,157
51,125
51,482
51,92
51,647
51,145
51,510
51,905
51,493
52,1017
52,1867
52,564
52,33
52,0
52,123
52,128
52,1518
52,1870
52,1521
52,29
52,1239
52,1876
52,883
52,639
52,1452
52,1539
52,672
52,435
52,245
52,125
52,1670
52,984
52,708
52,1078
52,1404
52,991
52,482
52,1088
52,27
52,322
52,1702
52,1564
52,919
52,1902
52,353
52,505
52,1851
52,39
52,583
52,141
52,1912
52,931
52,286
52,877
52,602
52,954
52,961
52,480
52,1637
52,1820
52,419
52,1931
52,145
52,1348
52,660
52,662
52,935
52,43
52,510
52,374
52,511
52,894
52,237
52,1298
52,1946
52,980
52,263
52,523
52,1558
52,905
52,1955
52,1151
52,739
52,422
52,1964
52,1846
53,0
53,1968
53,141
54,128
54,92
54,39
54,935
55,33
55,128
55,245
55,274
55,92
55,322
55,39
56,1973
56,1072
56,987
56,811
56,905
57,1017
57,0
57,128
57,1239
57,608
57,639
57,1981
57,672
57,1693
57,435
57,245
57,1072
57,125
57,984
57,1983
57,1088
57,92
57,484
57,1809
57,1702
57,1564
57,925
57,583
57,141
57,602
57,961
57,647
57,145
57,660
57,662
57,43
57,374
57,380
57,237
57,1946
57,263
57,694
57,1270
57,709
57,1990
57,905
57,1151
57,739
57,1567
58,0
58,123
58,1518
58,278
58,1521
58,608
58,87
58,55
58,245
58,680
58,1670
58,722
58,1681
58,92
58,1809
58,2003
58,1605
58,419
58,2006
58,498
58,43
58,374
58,380
58,237
58,263
58,1151
58,739
58,1567
59,1432
59,123
59,245
59,125
59,141
59,602
59,839
59,145
59,380
60,1194
60,482
60,27
61,564
61,2029
61,2030
61,0
61,123
61,128
61,278
61,608
61,610
61,2039
61,87
61,639
61,2042
61,672
61,1693
61,1542
61,245
61,1545
61,1382
61,2049
61,722
61,482
61,27
61,92
61,484
61,1564
61,1467
61,2058
61,583
61,1819
61,1931
61,145
61,1348
61,2072
61,660
61,662
61,374
61,237
61,2074
61,263
61,2076
61,1270
61,709
61,1151
61,739
61,1089
61,2085
61,1003
61,1964
62,278
62,608
62,223
62,1148
62,939
62,249
62,869
62,286
62,877
62,1931
62,647
62,935
62,43
62,510
62,894
62,905
62,739
63,1148
63,92
63,286
63,602
64,564
64,33
64,883
64,639
64,125
64,1670
64,482
64,1088
64,27
64,922
64,39
64,1637
64,510
64,263
65,1521
65,92
65,2102
66,564
66,1521
66,1382
66,732
66,484
66,353
66,39
66,1819
67,29
67,772
67,43
68,123
68,128
68,27
68,505
68,237
68,980
69,1670
69,919
69,647
69,2116
70,245
70,583
71,564
71,128
71,39
71,141
72,787
72,123
72,299
72,639
72,1194
72,125
72,92
72,1702
72,772
72,925
72,286
72,2129
72,602
72,480
72,1050
72,647
72,660
72,662
72,43
72,510
72,374
72,1946
72,263
72,709
72,905
72,768
73,128
73,245
73,27
73,1642
74,33
74,29
74,2140
74,1670
74,453
74,939
74,919
74,2102
74,931
74,877
74,935
74,2155
74,2156
74,2160
74,2163
75,128
75,29
75,538
75,55
75,435
75,245
75,274
75,987
75,498
75,43
75,811
75,523
76,869
76,286
77,564
77,33
77,29
77,608
77,538
77,55
77,274
77,722
77,141
77,419
77,2006
77,2176
77,380
77,1552
77,2179
78,672
78,245
78,498
79,0
79,123
79,128
79,1670
79,482
79,27
79,92
79,789
79,357
80,0
80,608
80,245
80,484
81,564
81,123
81,128
