iid,title,genres
40,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
570,Jumanji (1995),Adventure|Children|Fantasy
1322,Grumpier Old Men (1995),Comedy|Romance
448,Waiting to Exhale (1995),Comedy|Drama|Romance
1323,Father of the Bride Part II (1995),Comedy
254,Heat (1995),Action|Crime|Thriller
573,Sabrina (1995),Comedy|Romance
2120,Tom and Huck (1995),Adventure|Children
2100,Sudden Death (1995),Action
839,GoldenEye (1995),Action|Adventure|Thriller
1246,"American President, The (1995)",Comedy|Drama|Romance
2212,Dracula: Dead and Loving It (1995),Comedy|Horror
1662,Balto (1995),Adventure|Animation|Children
488,Nixon (1995),Drama
1821,Cutthroat Island (1995),Action|Adventure|Romance
326,Casino (1995),Crime|Drama
415,Sense and Sensibility (1995),Drama|Romance
1926,Four Rooms (1995),Comedy
1822,Ace Ventura: When Nature Calls (1995),Comedy
2364,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
145,Get Shorty (1995),Comedy|Crime|Thriller
1935,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
1854,Assassins (1995),Action|Crime|Thriller
357,Powder (1995),Drama|Sci-Fi
502,Leaving Las Vegas (1995),Drama|Romance
1058,Othello (1995),Drama
2709,Now and Then (1995),Children|Drama
1505,Persuasion (1995),Drama|Romance
362,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
971,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
2647,Dangerous Minds (1995),Drama
374,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
379,Babe (1995),Children|Drama
1751,Carrington (1995),Drama|Romance
381,Dead Man Walking (1995),Crime|Drama
1363,It Takes Two (1995),Children|Comedy
221,Clueless (1995),Comedy|Romance
2114,"Cry, the Beloved Country (1995)",Drama
238,Richard III (1995),Drama|War
439,Dead Presidents (1995),Action|Crime|Drama
2116,Restoration (1995),Drama
1071,Mortal Kombat (1995),Action|Adventure|Fantasy
1266,To Die For (1995),Comedy|Drama|Thriller
1665,How to Make an American Quilt (1995),Drama|Romance
241,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
25,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
2889,When Night Is Falling (1995),Drama|Romance
258,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
259,Mighty Aphrodite (1995),Comedy|Drama|Romance
1838,"Big Green, The (1995)",Children|Comedy
1948,Georgia (1995),Drama
2668,Home for the Holidays (1995),Drama
451,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
848,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
2954,Eye for an Eye (1996),Drama|Thriller
700,Mr. Holland's Opus (1995),Drama
2215,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
1392,Two if by Sea (1996),Comedy|Romance
1211,Bio-Dome (1996),Comedy
1698,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
2515,French Twist (Gazon maudit) (1995),Comedy|Romance
2188,Friday (1995),Comedy
905,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
2265,Fair Game (1995),Action
2178,Kicking and Screaming (1995),Comedy|Drama
476,"Misérables, Les (1995)",Drama|War
1402,Bed of Roses (1996),Drama|Romance
990,Screamers (1995),Action|Sci-Fi|Thriller
2786,Nico Icon (1995),Documentary
2082,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
2083,"Juror, The (1996)",Drama|Thriller
2701,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
1215,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
2084,Antonia's Line (Antonia) (1995),Comedy|Drama
2545,Once Upon a Time... When We Were Colored (1995),Drama|Romance
2179,Last Summer in the Hamptons (1995),Comedy|Drama
817,Angels and Insects (1995),Drama|Romance
1090,White Squall (1996),Action|Adventure|Drama
2157,Dunston Checks In (1996),Children|Comedy
818,Black Sheep (1996),Comedy
1849,Nick of Time (1995),Action|Thriller
1667,Mary Reilly (1996),Drama|Horror|Thriller
1861,Vampire in Brooklyn (1995),Comedy|Horror|Romance
1422,Beautiful Girls (1996),Comedy|Drama|Romance
130,Broken Arrow (1996),Action|Adventure|Thriller
2424,"Hate (Haine, La) (1995)",Crime|Drama
2634,Heidi Fleiss: Hollywood Madam (1995),Documentary
1896,City Hall (1996),Drama|Thriller
2356,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
2751,Mr. Wrong (1996),Comedy
2951,Unforgettable (1996),Mystery|Sci-Fi|Thriller
179,Happy Gilmore (1996),Comedy
479,"Bridges of Madison County, The (1995)",Drama|Romance
1716,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
92,Braveheart (1995),Action|Drama|War
484,Taxi Driver (1976),Crime|Drama|Thriller
1217,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
2016,Before and After (1996),Drama|Mystery
748,Anne Frank Remembered (1995),Documentary
2410,"Young Poisoner's Handbook, The (1995)",Crime|Drama
1415,If Lucy Fell (1996),Comedy|Romance
2941,"Boys of St. Vincent, The (1992)",Drama
1423,Boomerang (1992),Comedy|Romance
1626,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
1279,Flirting With Disaster (1996),Comedy
1902,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
2056,Jade (1995),Thriller
1431,Down Periscope (1996),Comedy
1726,Up Close and Personal (1996),Drama|Romance
867,"Birdcage, The (1996)",Comedy
1447,"Brothers McMullen, The (1995)",Comedy
1166,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
2413,"Basketball Diaries, The (1995)",Drama
1907,"Awfully Big Adventure, An (1995)",Drama
2735,Amateur (1994),Crime|Drama|Thriller
39,Apollo 13 (1995),Adventure|Drama|IMAX
446,Rob Roy (1995),Action|Drama|Romance|War
2559,"Addiction, The (1995)",Drama|Horror
572,Batman Forever (1995),Action|Adventure|Comedy|Crime
1514,Beauty of the Day (Belle de jour) (1967),Drama
1590,Beyond Rangoon (1995),Adventure|Drama|War
2173,Blue in the Face (1995),Comedy|Drama
1304,Canadian Bacon (1995),Comedy|War
1019,Casper (1995),Adventure|Children
1847,Clockers (1995),Crime|Drama|Mystery
874,Congo (1995),Action|Adventure|Mystery|Sci-Fi
459,Crimson Tide (1995),Drama|Thriller|War
275,Crumb (1994),Documentary
144,Desperado (1995),Action|Romance|Western
951,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
146,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
2095,"Doom Generation, The (1995)",Comedy|Crime|Drama
1029,First Knight (1995),Action|Drama|Romance
2153,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
1815,Hackers (1995),Action|Adventure|Crime|Thriller
2376,Jeffrey (1995),Comedy|Drama
1635,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
1177,Judge Dredd (1995),Action|Crime|Sci-Fi
2720,Jury Duty (1995),Comedy
1291,Kids (1995),Drama
297,Living in Oblivion (1995),Comedy
1914,Lord of Illusions (1995),Horror
2512,Mad Love (1995),Drama|Romance
615,Mallrats (1995),Comedy|Romance
2154,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
2066,Moonlight and Valentino (1995),Drama|Romance
2623,Mute Witness (1994),Comedy|Horror|Thriller
1920,Nadja (1994),Drama
1183,"Net, The (1995)",Action|Crime|Thriller
618,Nine Months (1995),Comedy|Romance
1243,Party Girl (1995),Comedy
1922,"Prophecy, The (1995)",Fantasy|Horror|Mystery
1924,Safe (1995),Thriller
2721,"Scarlet Letter, The (1995)",Drama|Romance
1925,Showgirls (1995),Drama
328,Smoke (1995),Comedy|Drama
1343,Something to Talk About (1995),Comedy|Drama|Romance
1249,Species (1995),Horror|Sci-Fi
965,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
419,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
2588,Three Wishes (1995),Drama|Fantasy
368,Total Eclipse (1995),Drama|Romance
770,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
2243,Under Siege 2: Dark Territory (1995),Action
1778,Unstrung Heroes (1995),Comedy|Drama
2443,Unzipped (1995),Documentary
1430,"Walk in the Clouds, A (1995)",Drama|Romance
772,Waterworld (1995),Action|Adventure|Sci-Fi
2528,White Man's Burden (1995),Drama
2803,Wild Bill (1995),Western
2412,"Browning Version, The (1994)",Drama
2442,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
2542,Before the Rain (Pred dozhdot) (1994),Drama|War
231,Before Sunrise (1995),Drama|Romance
783,Billy Madison (1995),Comedy
1314,"Babysitter, The (1995)",Drama|Thriller
1727,Boys on the Side (1995),Comedy|Drama
3017,"Cure, The (1995)",Drama
3006,Castle Freak (1995),Horror
1018,Circle of Friends (1995),Drama|Romance
513,Clerks (1994),Comedy
251,Don Juan DeMarco (1995),Comedy|Drama|Romance
2058,Disclosure (1994),Drama|Thriller
2473,Drop Zone (1994),Action|Thriller
253,Death and the Maiden (1994),Drama|Thriller
457,Dolores Claiborne (1995),Drama|Thriller
789,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
1026,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
1634,Exotica (1994),Drama
1326,Exit to Eden (1994),Comedy
141,Ed Wood (1994),Comedy|Drama
1327,French Kiss (1995),Action|Comedy|Romance
1328,Forget Paris (1995),Comedy|Romance
2152,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
1814,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
2128,Hideaway (1995),Thriller
2342,Fluke (1995),Children|Drama
1913,Farinelli: il castrato (1994),Drama|Musical
791,Hoop Dreams (1994),Documentary
954,Heavenly Creatures (1994),Crime|Drama
604,Houseguest (1994),Comedy
792,Immortal Beloved (1994),Drama|Romance
2790,Heavyweights (Heavy Weights) (1995),Children|Comedy
1334,I.Q. (1994),Comedy|Romance
480,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
